Subject,Trial,Fixation #,X_Coord,Y_Coord,ROI,feature
33.0,3.0,4.0,990.77,604.49,mouth_nose,"[ 6.58273387e-02 -4.35499483e-02  6.98613174e-02  3.46095665e-02
  3.58883757e-02  5.73196392e-02  2.14829351e+02 -6.01955587e+01
  2.09838841e+02  3.79953458e+01  1.33957100e+01  3.31739384e+01
  2.29000000e-01]"
33.0,3.0,5.0,1015.85,520.09,eye,"[ 3.67711646e-02 -2.73843079e-02  8.18272222e-02  2.25228634e-02
  3.19483886e-02  6.91493303e-02  8.53844518e+01 -3.62452740e+01
  2.06719855e+02  1.72833135e+01  1.23031316e+01  4.07388023e+01
  1.32000000e-01]"
33.0,3.0,6.0,1016.73,521.62,eye,"[ 9.45484304e-02 -1.55947712e-01  1.28882815e+00  8.12719920e-02
  1.60463381e-01  9.21654839e-01  1.55186461e+02 -2.97578283e+01
  4.14048336e+02  1.15242907e+02  3.92403098e+01  2.83249794e+02
  6.00000000e-03]"
33.0,3.0,7.0,1050.95,455.88,,"[ 3.43508938e-02 -4.09085631e-02  1.09176491e-01  1.58623537e-02
  3.22412623e-02  8.55299223e-02  1.01041652e+02 -2.49939146e+01
  8.09255365e+01  1.81175238e+01  8.13898812e+00  1.35078625e+01
  2.27000000e-01]"
33.0,3.0,8.0,1065.81,458.91,,"[ 4.82757702e-02 -7.34715313e-02  1.58987139e-01  1.13188793e-02
  2.61754767e-02  7.81834950e-02  5.81022433e+01 -5.28459555e+00
  3.70459944e+01  8.22787078e+00  2.68535980e+00  4.94127116e+00
  7.07000000e-01]"
33.0,3.0,9.0,1068.07,458.93,,"[ 5.58140639e-01 -3.85366711e-01  4.37208392e-01  2.18187579e-01
  1.98850523e-01  2.99012206e-01  3.31992946e+02 -8.38826907e+00
  2.96640722e+01  2.36002688e+02  3.04913646e+01  2.09544212e+01
  6.00000000e-03]"
33.0,3.0,10.0,985.44,584.06,mouth_nose,"[ 4.90277287e-02 -4.24143582e-02  6.97893316e-02  1.86375141e-02
  2.67152705e-02  4.96181511e-02  5.75245907e+01 -6.89621233e+00
  3.66218956e+01  1.06978080e+01  4.60149497e+00  6.70892589e+00
  2.02000000e-01]"
33.0,3.0,11.0,985.37,586.26,mouth_nose,"[ 9.03073607e-02 -3.15481524e-02  2.17316760e-01  8.15953810e-02
  6.17473539e-02  1.89791918e-01  3.26032922e+02 -4.12794044e+01
  3.96041280e+02  2.23177633e+02  5.62696814e+01  2.56578832e+02
  7.00000000e-03]"
33.0,3.0,12.0,1037.52,517.13,eye,"[ 2.07659421e-01 -1.06143087e-01  1.14500135e+00  1.81225525e-01
  2.11120324e-01  9.24571521e-01  3.60947975e+03 -2.05099357e+02
  1.48207889e+03  2.14558735e+03  1.61371628e+02  8.65461699e+02
  9.00000000e-03]"
33.0,3.0,13.0,1032.1,508.25,eye,"[ 2.30709884e-01 -2.78023254e-01  3.88273906e+00  1.96895946e-01
  3.71571512e-01  2.40277010e+00  2.44791460e+03 -1.56850311e+02
  4.96021767e+03  1.57657632e+03  1.36608999e+02  2.92970429e+03
  8.00000000e-03]"
33.0,3.0,14.0,1046.72,456.76,,"[ 1.95481455e-01 -2.62261716e-01  4.08117616e-01  5.19377104e-02
  7.04923826e-02  1.72983085e-01  6.90726034e+01 -2.13631316e+01
  1.13559738e+02  1.65583783e+01  1.13388149e+01  2.60063140e+01
  9.50000000e-02]"
33.0,3.0,15.0,1065.94,457.5,,"[ 4.54752810e-02 -5.39642220e-02  1.14665486e-01  1.59534940e-02
  3.13885968e-02  7.86129616e-02  5.79146809e+01 -8.29172896e+00
  5.33074247e+01  9.50115736e+00  4.68075915e+00  8.36658726e+00
  2.78000000e-01]"
