,first layer,second layer,third layer,train,test
2181,120,20,120,1.0,0.6274509803921569
2182,120,20,130,1.0,0.6313725490196078
2183,120,20,140,1.0,0.6235294117647059
2184,120,30,10,1.0,0.6431372549019607
2185,120,30,20,1.0,0.6392156862745098
2186,120,30,30,1.0,0.6235294117647058
2187,120,30,40,1.0,0.6352941176470588
2188,120,30,50,1.0,0.6627450980392156
2189,120,30,60,1.0,0.6431372549019607
2190,120,30,70,1.0,0.6352941176470588
2191,120,30,80,1.0,0.6470588235294117
2192,120,30,90,1.0,0.6509803921568627
2193,120,30,100,1.0,0.6509803921568627
2194,120,30,110,1.0,0.6666666666666665
2195,120,30,120,1.0,0.6705882352941176
2196,120,30,130,1.0,0.6509803921568627
2197,120,30,140,1.0,0.6352941176470588
2198,120,40,10,1.0,0.6352941176470587
2199,120,40,20,1.0,0.6
2200,120,40,30,1.0,0.6274509803921569
2201,120,40,40,1.0,0.6392156862745096
2202,120,40,50,1.0,0.6352941176470587
2203,120,40,60,1.0,0.6313725490196078
2204,120,40,70,1.0,0.6392156862745098
2205,120,40,80,1.0,0.6470588235294116
2206,120,40,90,1.0,0.6431372549019607
2207,120,40,100,1.0,0.6235294117647059
2208,120,40,110,1.0,0.6431372549019607
2209,120,40,120,1.0,0.6352941176470588
2210,120,40,130,1.0,0.6156862745098038
2211,120,40,140,1.0,0.6156862745098038
2212,120,50,10,1.0,0.6666666666666666
2213,120,50,20,1.0,0.6313725490196078
2214,120,50,30,1.0,0.6431372549019607
2215,120,50,40,1.0,0.6313725490196078
2216,120,50,50,1.0,0.6352941176470588
2217,120,50,60,1.0,0.6470588235294117
2218,120,50,70,1.0,0.6549019607843136
2219,120,50,80,1.0,0.6470588235294117
2220,120,50,90,1.0,0.6274509803921567
2221,120,50,100,1.0,0.6274509803921567
2222,120,50,110,1.0,0.6549019607843136
2223,120,50,120,1.0,0.6274509803921567
2224,120,50,130,1.0,0.6392156862745098
2225,120,50,140,1.0,0.6392156862745098
2226,120,60,10,1.0,0.6156862745098038
2227,120,60,20,1.0,0.6352941176470588
2228,120,60,30,1.0,0.6235294117647058
2229,120,60,40,1.0,0.6274509803921569
2230,120,60,50,1.0,0.6156862745098038
2231,120,60,60,1.0,0.6235294117647059
2232,120,60,70,1.0,0.6431372549019607
2233,120,60,80,1.0,0.6627450980392156
2234,120,60,90,1.0,0.6352941176470588
2235,120,60,100,1.0,0.6549019607843136
2236,120,60,110,1.0,0.6196078431372548
2237,120,60,120,1.0,0.6549019607843136
2238,120,60,130,1.0,0.6352941176470588
2239,120,60,140,1.0,0.6549019607843136
2240,120,70,10,1.0,0.6078431372549019
2241,120,70,20,1.0,0.6431372549019607
2242,120,70,30,1.0,0.6470588235294116
2243,120,70,40,1.0,0.6313725490196078
2244,120,70,50,1.0,0.6392156862745096
2245,120,70,60,1.0,0.6392156862745098
2246,120,70,70,1.0,0.6392156862745098
2247,120,70,80,1.0,0.6509803921568627
2248,120,70,90,1.0,0.6549019607843136
2249,120,70,100,1.0,0.6431372549019607
2250,120,70,110,1.0,0.6470588235294116
2251,120,70,120,1.0,0.6352941176470587
2252,120,70,130,1.0,0.6470588235294117
2253,120,70,140,1.0,0.6431372549019607
2254,120,80,10,1.0,0.6313725490196077
2255,120,80,20,1.0,0.6313725490196078
2256,120,80,30,1.0,0.6313725490196078
2257,120,80,40,1.0,0.6431372549019607
2258,120,80,50,1.0,0.6627450980392157
2259,120,80,60,1.0,0.6274509803921567
2260,120,80,70,1.0,0.6627450980392157
2261,120,80,80,1.0,0.6313725490196078
2262,120,80,90,1.0,0.6196078431372548
2263,120,80,100,1.0,0.6313725490196078
2264,120,80,110,1.0,0.6117647058823529
2265,120,80,120,1.0,0.6078431372549019
2266,120,80,130,1.0,0.6039215686274509
2267,120,80,140,1.0,0.6313725490196077
2268,120,90,10,1.0,0.6392156862745096
2269,120,90,20,1.0,0.6470588235294116
2270,120,90,30,1.0,0.6431372549019607
2271,120,90,40,1.0,0.6235294117647059
2272,120,90,50,1.0,0.6509803921568628
2273,120,90,60,1.0,0.6235294117647058
2274,120,90,70,1.0,0.6274509803921567
2275,120,90,80,1.0,0.6117647058823529
2276,120,90,90,1.0,0.6235294117647059
2277,120,90,100,1.0,0.6117647058823529
2278,120,90,110,1.0,0.6431372549019607
2279,120,90,120,1.0,0.6235294117647059
2280,120,90,130,1.0,0.6588235294117647
2281,120,90,140,1.0,0.6392156862745098
2282,120,100,10,1.0,0.6196078431372548
2283,120,100,20,1.0,0.6588235294117647
2284,120,100,30,1.0,0.6431372549019606
2285,120,100,40,1.0,0.6274509803921567
2286,120,100,50,1.0,0.615686274509804
2287,120,100,60,1.0,0.6196078431372548
2288,120,100,70,1.0,0.6470588235294116
2289,120,100,80,1.0,0.6274509803921566
2290,120,100,90,1.0,0.6274509803921567
2291,120,100,100,1.0,0.6392156862745098
2292,120,100,110,1.0,0.6352941176470587
2293,120,100,120,1.0,0.6549019607843136
2294,120,100,130,1.0,0.6313725490196078
2295,120,100,140,1.0,0.6588235294117645
2296,120,110,10,1.0,0.6549019607843136
2297,120,110,20,1.0,0.6313725490196077
2298,120,110,30,1.0,0.6313725490196078
2299,120,110,40,1.0,0.6392156862745098
2300,120,110,50,1.0,0.6039215686274509
2301,120,110,60,1.0,0.6117647058823529
2302,120,110,70,1.0,0.6392156862745098
2303,120,110,80,1.0,0.615686274509804
2304,120,110,90,1.0,0.6313725490196078
2305,120,110,100,1.0,0.6392156862745098
2306,120,110,110,1.0,0.6431372549019607
2307,120,110,120,1.0,0.6627450980392156
2308,120,110,130,1.0,0.6274509803921567
2309,120,110,140,1.0,0.6627450980392156
2310,120,120,10,1.0,0.6313725490196078
2311,120,120,20,1.0,0.6235294117647058
2312,120,120,30,1.0,0.6392156862745098
2313,120,120,40,1.0,0.6117647058823529
2314,120,120,50,1.0,0.6313725490196077
2315,120,120,60,1.0,0.6352941176470588
2316,120,120,70,1.0,0.6352941176470588
2317,120,120,80,1.0,0.6274509803921567
2318,120,120,90,1.0,0.6313725490196077
2319,120,120,100,1.0,0.6470588235294117
2320,120,120,110,1.0,0.6431372549019606
2321,120,120,120,1.0,0.6470588235294118
2322,120,120,130,1.0,0.6392156862745096
2323,120,120,140,1.0,0.6392156862745096
2324,120,130,10,1.0,0.6549019607843136
2325,120,130,20,1.0,0.6235294117647058
2326,120,130,30,1.0,0.6431372549019607
2327,120,130,40,1.0,0.6196078431372548
2328,120,130,50,1.0,0.6313725490196077
2329,120,130,60,1.0,0.6470588235294117
2330,120,130,70,1.0,0.6352941176470588
2331,120,130,80,1.0,0.6431372549019606
2332,120,130,90,1.0,0.6392156862745098
2333,120,130,100,1.0,0.6392156862745098
