,expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender
145,LookAtMe1.2,45,1,2,1,2,146,46,3.0,0.3706062389537692,True,stim\7 F080C.jpg,2019-02-21 10:05:19,6,1
146,LookAtMe1.2,45,1,2,1,2,147,45,1.0,0.3637336064130068,False,stim\morph\7&8 20.jpg,2019-02-21 10:05:29,5,1
147,LookAtMe1.2,45,1,2,1,2,148,12,1.0,0.4224687274545431,False,stim\morph\1&2 20.jpg,2019-02-21 10:05:37,2,0
148,LookAtMe1.2,45,1,2,1,2,149,43,1.0,0.4860002379864454,False,stim\morph\7&8 60.jpg,2019-02-21 10:05:47,3,1
149,LookAtMe1.2,45,1,2,1,2,150,14,1.0,0.5549693405628204,False,stim\morph\1&2 60.jpg,2019-02-21 10:05:57,4,0
150,LookAtMe1.2,45,1,2,1,2,151,16,4.0,0.4554452234879136,True,stim\2 M024C + M010C.jpg,2019-02-21 10:06:05,6,0
151,LookAtMe1.2,45,1,2,1,2,152,42,1.0,0.4410794898867607,False,stim\morph\7&8 80.jpg,2019-02-21 10:06:13,2,1
152,LookAtMe1.2,45,1,2,1,2,153,45,1.0,0.482879564166069,False,stim\morph\7&8 20.jpg,2019-02-21 10:06:21,5,1
153,LookAtMe1.2,45,1,2,1,2,154,16,2.0,1.244840944185853,False,stim\2 M024C + M010C.jpg,2019-02-21 10:06:30,6,0
154,LookAtMe1.2,45,1,2,1,2,155,13,1.0,0.4544984456151724,False,stim\morph\1&2 40.jpg,2019-02-21 10:06:40,3,0
155,LookAtMe1.2,45,1,2,1,2,156,44,1.0,0.4571966584771871,False,stim\morph\7&8 40.jpg,2019-02-21 10:06:48,4,1
156,LookAtMe1.2,45,1,2,1,2,157,15,1.0,0.451190278865397,False,stim\morph\1&2 80.jpg,2019-02-21 10:06:58,5,0
157,LookAtMe1.2,45,1,2,1,2,158,41,1.0,0.382264744490385,False,stim\8 F080C + F101C.jpg,2019-02-21 10:07:07,1,1
158,LookAtMe1.2,45,1,2,1,2,159,11,1.0,0.46773471403867,False,stim\1 M024C.jpg,2019-02-21 10:07:16,1,0
159,LookAtMe1.2,45,1,2,1,2,160,46,3.0,0.3877335852012038,False,stim\7 F080C.jpg,2019-02-21 10:07:25,6,1
