subject,k,fold,feature,train,test
22,10,2,gaze,0.5168539325842697,0.4782608695652174
22,12,0,gaze,0.47191011235955055,0.4782608695652174
22,12,1,gaze,0.47191011235955055,0.5217391304347826
22,12,2,gaze,0.6292134831460674,0.6086956521739131
22,15,0,gaze,0.4943820224719101,0.8260869565217391
22,15,1,gaze,0.6404494382022472,0.6521739130434783
22,15,2,gaze,0.6179775280898876,0.5217391304347826
22,20,0,gaze,0.4606741573033708,0.6956521739130435
22,20,1,gaze,0.4157303370786517,0.34782608695652173
22,20,2,gaze,0.5955056179775281,0.5217391304347826
22,23,0,gaze,0.4943820224719101,0.17391304347826086
22,23,1,gaze,0.5955056179775281,0.5652173913043478
22,23,2,gaze,0.5393258426966292,0.34782608695652173
23,2,0,gaze,0.5617977528089888,0.4782608695652174
23,2,1,gaze,0.5730337078651685,0.6086956521739131
23,2,2,gaze,0.5168539325842697,0.391304347826087
23,6,0,gaze,0.5393258426966292,0.43478260869565216
23,6,1,gaze,0.550561797752809,0.5217391304347826
23,6,2,gaze,0.5730337078651685,0.4782608695652174
23,10,0,gaze,0.6404494382022472,0.43478260869565216
23,10,1,gaze,0.6067415730337079,0.5652173913043478
23,10,2,gaze,0.5056179775280899,0.5217391304347826
23,12,0,gaze,0.5617977528089888,0.5652173913043478
23,12,1,gaze,0.6179775280898876,0.43478260869565216
23,12,2,gaze,0.5280898876404494,0.4782608695652174
23,15,0,gaze,0.5280898876404494,0.391304347826087
23,15,1,gaze,0.550561797752809,0.7391304347826086
23,15,2,gaze,0.449438202247191,0.43478260869565216
23,20,0,gaze,0.550561797752809,0.2608695652173913
23,20,1,gaze,0.5056179775280899,0.391304347826087
23,20,2,gaze,0.5056179775280899,0.6086956521739131
23,23,0,gaze,0.42696629213483145,0.6521739130434783
23,23,1,gaze,0.550561797752809,0.6521739130434783
23,23,2,gaze,0.550561797752809,0.4782608695652174
26,2,0,gaze,0.6404494382022472,0.5652173913043478
26,2,1,gaze,0.4157303370786517,0.4782608695652174
26,2,2,gaze,0.449438202247191,0.34782608695652173
26,6,0,gaze,0.5393258426966292,0.6086956521739131
26,6,1,gaze,0.42696629213483145,0.4782608695652174
26,6,2,gaze,0.5617977528089888,0.4782608695652174
26,10,0,gaze,0.550561797752809,0.5652173913043478
26,10,1,gaze,0.48314606741573035,0.34782608695652173
26,10,2,gaze,0.5955056179775281,0.6956521739130435
26,12,0,gaze,0.48314606741573035,0.4782608695652174
26,12,1,gaze,0.5393258426966292,0.391304347826087
26,12,2,gaze,0.5056179775280899,0.34782608695652173
26,15,0,gaze,0.6179775280898876,0.5217391304347826
26,15,1,gaze,0.47191011235955055,0.5652173913043478
26,15,2,gaze,0.5842696629213483,0.5652173913043478
26,20,0,gaze,0.5730337078651685,0.5652173913043478
26,20,1,gaze,0.5617977528089888,0.6086956521739131
26,20,2,gaze,0.6292134831460674,0.4782608695652174
26,23,0,gaze,0.5393258426966292,0.5217391304347826
26,23,1,gaze,0.5280898876404494,0.391304347826087
26,23,2,gaze,0.4606741573033708,0.4782608695652174
27,2,0,gaze,0.651685393258427,0.6956521739130435
27,2,1,gaze,0.5168539325842697,0.5217391304347826
27,2,2,gaze,0.47191011235955055,0.2608695652173913
27,6,0,gaze,0.5842696629213483,0.6956521739130435
27,6,1,gaze,0.550561797752809,0.7391304347826086
27,6,2,gaze,0.5168539325842697,0.391304347826087
27,10,0,gaze,0.6067415730337079,0.7391304347826086
27,10,1,gaze,0.3595505617977528,0.34782608695652173
27,10,2,gaze,0.5280898876404494,0.6086956521739131
27,12,0,gaze,0.5730337078651685,0.6086956521739131
27,12,1,gaze,0.4606741573033708,0.4782608695652174
27,12,2,gaze,0.48314606741573035,0.7391304347826086
27,15,0,gaze,0.3707865168539326,0.43478260869565216
27,15,1,gaze,0.34831460674157305,0.34782608695652173
27,15,2,gaze,0.39325842696629215,0.4782608695652174
27,20,0,gaze,0.3707865168539326,0.2608695652173913
27,20,1,gaze,0.6404494382022472,0.6956521739130435
